,0
170,0.295321226
171,0.14276728
172,-0.0660262555
173,0.12725623
174,-0.0744046047
175,-0.0582448132
176,-0.0631773695
177,0.303772867
178,-0.469022632
179,0.192535803
180,-0.204174221
181,0.0632702336
182,0.195323795
183,-0.258497059
184,-0.181471676
185,-0.0520899072
186,0.0935113952
187,-0.0590333119
188,0.245080039
189,0.134737641
190,0.0810820013
191,0.131498441
192,-0.39754957
193,0.296977013
194,-0.158869758
195,-0.0752957538
196,-0.10847874
197,-0.368276536
198,0.169928223
199,0.600500643
200,-0.0614913739
201,-0.491585851
202,-0.201353967
203,-0.0948382542
204,-0.102542162
205,0.170696527
206,-0.078565307
207,-0.167184412
208,-0.00439887773
209,-0.0161677059
210,-0.0386013389
211,-0.033499606
212,-0.103191935
213,-0.139902636
214,-0.279680401
215,-0.0284558125
216,0.253137141
217,0.116746947
218,-0.357531011
219,-0.0371171869
220,-0.192831635
221,-0.0202340726
222,0.627799332
223,0.0685696453
224,0.0220753737
225,0.0396025702
226,0.0312012732
227,0.219140187
228,-0.0702586323
229,-0.0908406153
230,0.154167935
231,0.00514878519
232,-0.135376826
233,0.220184922
234,0.28609544
235,-0.0799599662
236,-0.177949816
237,0.0160072818
238,0.0936320797
239,0.0763028115
240,0.360500336
241,0.0692485198
242,0.0456957705
243,-0.0506876633
244,-0.260486364
245,0.144672498
246,-0.188972056
247,-0.00609319145
248,0.189914897
249,-0.190287024
250,-0.00540047884
251,-0.295658529
252,-0.0255022869
253,-0.161253422
254,0.0355747305
255,0.0354334265
256,-0.256329834
257,0.0529675372
258,-0.0966124535
259,0.0579962656
260,-0.226327538
261,-0.208821625
262,-0.15015921
263,0.0312995017
264,0.0425127223
265,-0.0148613025
266,-0.00241196039
267,-0.181220457
268,-0.0837032944
269,-0.158095315
270,-0.184913367
271,0.0266613942
272,-0.270995349
273,-0.38876456
274,0.069174923
275,-0.0379220545
276,0.14885217
277,-0.111840405
278,0.0465765335
279,0.0792483836
280,-0.0296269432
281,0.113370046
282,-0.391537607
283,-0.22916764
284,0.119110428
285,-0.116189621
286,0.0504987091
287,0.333786458
288,-0.37533325
289,0.00571927242
290,-0.268514365
291,0.0474553965
292,-0.25303477
293,-0.00529066706
294,0.206438005
295,0.130443916
296,-0.00696824305
297,0.0399355479
298,-0.505834818
299,0.00862836931
300,0.188077778
301,-0.180742607
302,-0.10166245
